0.5	0.02	0.88197138	0.00800170176
0.6	0.02	0.67546844	0.00730837787
0.7	0.02	0.43255336	0.00590560022
0.8	0.02	0.28986286	0.00411377717
0.9	0.02	0.19578956	0.00270059312
1	0.02	0.14630232	0.0019220139
1.1	0.02	0.10864532	0.00158655935
1.2	0.02	0.08759154	0.00117327627
1.3	0.02	0.07243288	0.00102721197
1.4	0.02	0.0594445	0.000868297887
1.5	0.02	0.05016146	0.000795741908
1.6	0.02	0.0436838	0.000670196275
1.7	0.02	0.03846138	0.000589501365
1.8	0.02	0.03327746	0.000599822364
1.9	0.02	0.02977748	0.000507227669
2	0.02	0.02690084	0.000458858223
